aggregation,source,source_role,generation_seed,baseline,api_group,category,n_total,n_known,n_true,n_false,n_unknown,failure_rate_known,failure_rate_total_lower_bound
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,missing_import,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,shape_or_dtype_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,index_or_bounds_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,undefined_name_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,argument_signature_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,dependency_import_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,setup_or_environment_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,resource_exhaustion,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,runtime_error_other,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,assertion_failure,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,timeout,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,missing_oracle,24,24,24,0,0,1.0,1.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,oracle_not_executed,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,fake_assertion,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,broad_exception_swallowing,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,target_not_executed,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,truncated_generation,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,linear_algebra,nondeterministic_failure,24,0,0,0,24,,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,normalization_activation_and_loss,syntax_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,normalization_activation_and_loss,wrong_or_missing_target_api,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,normalization_activation_and_loss,missing_import,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,normalization_activation_and_loss,shape_or_dtype_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,normalization_activation_and_loss,index_or_bounds_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,normalization_activation_and_loss,undefined_name_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,normalization_activation_and_loss,argument_signature_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,normalization_activation_and_loss,dependency_import_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,normalization_activation_and_loss,setup_or_environment_error,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,normalization_activation_and_loss,resource_exhaustion,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,normalization_activation_and_loss,runtime_error_other,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,normalization_activation_and_loss,assertion_failure,24,24,0,24,0,0.0,0.0
baseline_group,campaign_combined,campaign_combined,__ALL__,B0,normalization_activation_and_loss,timeout,24,24,0,24,0,0.0,0.0
