aggregation,source,source_role,baseline,api_group,generation_seed,category,n_total,n_known,n_true,n_false,n_unknown,failure_rate_known,failure_rate_total_lower_bound
baseline,events.checkpoint,campaign_checkpoint,B2,__ALL__,__ALL__,index_or_bounds_error,120,65,0,65,55,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B2,__ALL__,__ALL__,undefined_name_error,120,65,0,65,55,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B2,__ALL__,__ALL__,argument_signature_error,120,65,0,65,55,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B2,__ALL__,__ALL__,dependency_import_error,120,65,0,65,55,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B2,__ALL__,__ALL__,setup_or_environment_error,120,65,0,65,55,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B2,__ALL__,__ALL__,resource_exhaustion,120,65,0,65,55,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B2,__ALL__,__ALL__,runtime_error_other,120,65,0,65,55,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B2,__ALL__,__ALL__,assertion_failure,120,65,1,64,55,0.015384615384615385,0.008333333333333333
baseline,events.checkpoint,campaign_checkpoint,B2,__ALL__,__ALL__,timeout,120,120,0,120,0,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B2,__ALL__,__ALL__,missing_oracle,120,65,3,62,55,0.046153846153846156,0.025
baseline,events.checkpoint,campaign_checkpoint,B2,__ALL__,__ALL__,oracle_not_executed,120,65,52,13,55,0.8,0.43333333333333335
baseline,events.checkpoint,campaign_checkpoint,B2,__ALL__,__ALL__,fake_assertion,120,65,2,63,55,0.03076923076923077,0.016666666666666666
baseline,events.checkpoint,campaign_checkpoint,B2,__ALL__,__ALL__,broad_exception_swallowing,120,65,0,65,55,0.0,0.0
baseline,events.checkpoint,campaign_checkpoint,B2,__ALL__,__ALL__,target_not_executed,120,65,55,10,55,0.8461538461538461,0.4583333333333333
baseline,events.checkpoint,campaign_checkpoint,B2,__ALL__,__ALL__,truncated_generation,120,120,110,10,0,0.9166666666666666,0.9166666666666666
